,TITLE,SINGER,LYRIC
44,Shivers,Ed Sheeran,I took an arrow to the heart I never kissed a mouth that tastes like yours Strawberries and then something more Oh yeah I want it all Lipstick on my guitar Fill up the engine we can drive real far Go dancing underneath the stars Oh yeah I want it all You got me feeling like I wanna be that guy I wanna kiss your eyes I wanna drink that smile I wanna feel like I Like my souls on fire I wanna stay up all day and all night Yeah you got me singing like Ooh I love it when you do it like that And when you’re close up Give me the shivers Oh baby you wanna dance ‘til the sunlight cracks And when they say the party’s over then we’ll bring it right back And we’ll say Ooh I love it when you do it like that And when you’re close up Give me the shivers Oh baby you wanna dance ‘til the sunlight cracks And when they say the party’s over then we’ll bring it right back Into the car On the backseat in the moonlit dark Wrap me up between your legs and arms Oh I can’t get enough You know you could tear me apart Put me back together and break my heart I never thought that I could love this hard Oh I can’t get enough You got me feeling like I wanna be that guy I wanna kiss your eyes I wanna drink that smile I wanna feel like I Like my souls on fire I wanna stay up all day and all night Yeah you got me singing like Ooh I love it when you do it like that And when you’re close up Give me the shivers Oh baby you wanna dance ‘til the sunlight cracks And when they say the party’s over then we’ll bring it right back And we’ll say Ooh I love it when you do it like that And when you’re close up Give me the shivers Oh baby you wanna dance ‘til the sunlight cracks And when they say the party’s over then we’ll bring it right back Baby you burn so hot You make me shiver with the fire you got This thing we started I don’t want it to stop you know you make me shiver Baby you burn so hot You make me shiver with the fire you got This thing we started I don’t want it to stop you know you make me shiver Yeah you got me singing like Ooh I love it when you do it like that And when you’re close up Give me the shivers Oh baby you wanna dance ‘til the sunlight cracks And when they say the party’s over then we’ll bring it right back Ooh I love it when you do it like that And when you’re close up Give me the shivers Oh baby you wanna dance ‘til the sunlight cracks And when they say the party’s over then we’ll bring it right back
45,Maniac,Conan Gray,Maniac You were with your friends partyin' When the alcohol kicked in Said you wanted me dead So you show up at my home all alone With a shovel and a rose Do you think I'm a joke 'Cause people like you always want back what they can't have But I'm past that and you know that So you should turn back to your rat pack tell 'em I'm trash Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker a watcher a psychopath And tell 'em you hate me and dated me just for laughs So why do you call me and tell me you want me back You maniac Maniac some may say You maniac Maniac some may say You maniac Maniac some may say You maniac Maniac some may say You just went too far Wrecked your car called me cryin' in the dark Now you're breakin' my heart So I show up at your place right away Wipe the tears off of your face While you beg me to stay Well people like you always want back what they can't have But I'm past that and you know that So you should turn back to your rat pack tell 'em I'm trash Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker a watcher a psychopath And tell 'em you hate me and dated me just for laughs So why do you call me and tell me you want me back You maniac Maniac some may say You maniac Maniac some may say You maniac Maniac some may say You maniac Maniac some may say Psychopathic don't be so dramatic We had magic but you made it tragic Now you're manic honestly I've had it Listen to yourself think you need to get some help Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker a watcher a psychopath And tell 'em you hate me and dated me just for laughs So why do you call me and tell me you want me back You maniac Maniac some may say You maniac Maniac some may say You maniac Maniac some may say You maniac Maniac some may say that I
46,This Christmas,"Pink Sweat$, Donny Hathaway",Hang all the mistletoe I'm gonna get to know you better This Christmas And as we trim the tree How much fun it's gonna be together This Christmas Fireside is blazing bright We're caroling through the night And this Christmas will be A very special Christmas for me Presents and cards are here My world is filled with cheer and you This Christmas And as I look around Your eyes outshine the town they do This Christmas Fireside is blazing bright We're caroling through the night And this Christmas will be A very special Christmas for me yeah Shake a hand shake a hand now Fireside is blazing bright We're caroling through the night And this Christmas will be A very special Christmas for me yeah Shake a hand shake a hand now Wish your brother merry christmas
47,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Say baby say baby say baby What you doin what you doin Where you at where you at Oh you got plans you got plans Don’t say that shut yo trap I’m sippin wine sip sip In a robe drip drip I look too good look too good To be alone wooohooo My house clean house clean My pool warm pool warm Just shaved smooth like a new born We should be dancing romancing In the east wing and the west wing Of this mansion what’s happenin I aint playin no games Every word that I say Is coming straight from the heart so if you tryna lay in these arms Imma leave the door open imma leave the door open Imma leave the door open girl Imma leave the door open hopin That you feel the way I feel And you want me like I want you tonight baby tell me that you’re coming through You’re so sweet so sweet So tight so tight I won’t bite ahh ahh Unless you like unless you like If you smoke what you smoke I got that haze purple haze And if you’re hungry girl I got filets woohooo Ooh baby don’t keep me waiting There’s so much love we could be making Shamone I’m talking kissing Cuddling Rose petals in the bathtub Girl lets jump in It’s bubblin I aint playin no games Every word that I say Is coming straight from the heart So if you tryna lay in these arms Imma leave the door open imma leave the door open Imma leave the door open girl Imma leave the door open hopin That you feel the way I feel And you want me like I want you tonight baby tell me that you’re coming through La la laaa la la la laaa I need you baby La la laaa la la la laaa I gotta see you baby La la laaa la la la laaa Girl I’m tryna give you this aaaaahhhhhhhhhh Imma leave my door open baby imma leave the door open imma leave my door open girl Imma leave the door open hopin And I’m hopin Hopin that you feel the way I feel And you want me like I want you tonight baby tell me that you’re coming through La la laaa la la la laaa Tell me Tell me that you’re coming through Woo woo-woo woo woo-woowoo Woo-woo Woo woo-woo woo woo-woowoo Woo-woo La la laaa la la la laaa Tell me that you’re coming through Girl I’m here just waiting for you Come on over I’ll adore you I gotta know La la laaa la la la laaa I’m waiting waiting waiting for you Tell me that you’re coming through Girl I’m here just waiting for you Come on over I’ll adore you
48,Loving You Girl (Feat. Hkeem),Peder Elias,Loving you girl is such a lonely feeling Whatever I say or do I'll always be lost in you When you told me forevermore I must have been dreaming This picture of you and me Oh wasn't it meant to be Jump into a cab on fifty ninth street I say to the driver Make a right Stare into the rain outside the window 'Cause I don't know But I wish I knew Baby when you are tonight I miss you Loving you girl is such a lonely feeling Whatever I say or do I'll always be lost in you When you told me forevermore I must have been dreaming This picture of you and me Oh wasn't it meant to be We used to play house way out in Brooklyn In the middle of July we had a fight Now I'm looking at this little dent on my pillow And I don't know But I wish I knew Baby where you are tonight Loving you girl is such a lonely feeling Whatever I say or do I'll always be lost in you When you told me forevermore I must have been dreaming This picture of you and me Oh wasn't it meant to be Girl let me know I'll go anywhere We can fly fly fly We'd go anywhere You and me were unstoppable Ain't no one like you you're unswappable Do you recall we were happy From the start girl you had me Like a bumblebee burning slowly 'Cause loving you girl got me lonely Loving you girl is such a lonely feeling Such a lonely feeling Whatever I say or do I'll always be lost in you When you told me forevermore I must have been dreaming This picture of you and me Oh wasn't it meant to be Loving you girl it's such a lonely feeling Whatever I say or do I'll always be lost in you When you told me forevermore I must have been dreaming This picture of you and me Oh wasn't it meant to be
49,INDUSTRY BABY,"Lil Nas X, Jack Harlow",D-D-Daytrip took it to ten hey Baby back ayy couple racks ayy Couple Grammys on him couple plaques ayy That's a fact ayy throw it back ayy Throw it back ayy And this one is for the champions I ain't lost since I began yeah Funny how you said it was the end yeah Then I went did it again yeah I told you long ago on the road I got what they waiting for I don't run from nothing dog Get your soldiers tell 'em I ain't layin' low You was never really rooting for me anyway When I'm back up at the top I wanna hear you say He don't run from nothin' dog Get your soldiers tell 'em that the break is over Uh need to uh Need to get this album done Need a couple number onеs Need a plaque on every song Need mе like one with Nicki now Tell a rap nigga I don't see ya hah I'm a pop nigga like Bieber hah I don't fuck bitches I'm queer hah But these niggas bitches like Madea yeah yeah yeah ayy Yeah Oh let's do it I ain't fall off I just ain't release my new shit I blew up now everybody tryna sue me You call me Nas but the hood call me Doobie yeah And this one is for the champions I ain't lost since I began yeah Funny how you said it was the end yeah Then I went did it again yeah I told you long ago on the road I got what they waiting for I got what they're waiting for I don't run from nothing dog Get your soldiers tell 'em I ain't layin' low Bitch I ain't runnin' from nowhere You was never really rooting for me anyway Ooh ooh When I'm back up at the top I wanna hear you say Ooh ooh He don't run from nothin' dog Get your soldiers tell 'em that the break is over Yeah My track record so clean they couldn't wait to just bash me I must be gettin' too flashy y'all shouldn't have let the world gas me Woo It's too late 'cause I'm here to stay and these girls know that I'm nasty Mmm I sent her back to her boyfriend with my handprint on her ass cheek City talkin' we takin' notes Tell 'em all to keep makin' posts Wish he could but he can't get close OG so proud of me that he chokin' up while he makin' toasts I'm the type that you can't control said I would then I made it so I don't clear up rumors Ayy where's y'all sense of humor Ayy I'm done makin' jokes 'cause they got old like baby boomers Turned my haters to consumers I make vets feel like they juniors Juniors Say your time is comin' soon but just like Oklahoma Mmm Mine is comin' sooner Mmm I'm just a late bloomer Mmm I didn't peak in high school I'm still out here gettin' cuter Woo All these social networks and computers Got these pussies walkin' 'round like they ain't losers I told you long ago on the road I got what they waiting for I got what they waiting for I don't run from nothing dog Get your soldiers tell 'em I ain't layin' low Bitch I ain't runnin' from nowhere You was never really rooting for me anyway When I'm back up at the top I wanna hear you say He don't run from nothin' dog Get your soldiers tell 'em that the break is over Yeah I'm the industry baby mmm I'm the industry baby Yeah
50,GHOST TOWN,Benson Boone,"You fill me up till your empty,  I took too much and you let me,  we’ve been down all these roads before,  And what we found don’t live there anymore,  It’s dark,  And it’s cold,  If my hand is not the one you’re meant to hold,  Maybe you’d be happier with someone else,  Maybe loving me is the reason you can’t love yourself,  Before I turn your heart into a ghost town,  Show me everything we’ve built so I can tear it all down,  You know I’ll stay don’t you tempt me,  But all this weight is getting heavy,  Been holding up what wasn’t meant to stand,  I turned this love into a waist-land,  It’s dark,  it’s cold,  If my hand is not the one you’re meant to hold,  Maybe you’d be happier with someone else,  Maybe loving me is the reason you can’t love yourself,  Before I turn your heart into a ghost town,  Show me everything we’ve built so I can tear it all down,  The streets are empty,  Where love once was but it’s faded away,  These broken memories,  I’m left here alone and afraid to say,  Maybe you’d be happier with someone else,  Oooooh,  Maybe you’d be happier with someone else,  Maybe loving me is the reason you can’t love yourself,  Before I turn your heart into a ghost town,  Show me everything we’ve built so I can tear it all down,"
51,Believer,Imagine Dragons,First things first I'ma say all the words inside my head I'm fired up and tired of the way that things have been oh ooh The way that things have been oh ooh Second thing second Don't you tell me what you think that I could be I'm the one at the sail I'm the master of my sea oh ooh The master of my sea oh ooh I was broken from a young age Taking my sulking to the masses Writing my poems for the few That look at me took to me shook to me feeling me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain You made me a you made me a believer believer Pain You break me down and build me up believer believer Pain oh let the bullets fly oh let them rain My life my love my drive it came from Pain You made me a you made me a believer believer Third things third Send a prayer to the ones up above All the hate that you've heard has turned your spirit to a dove oh ooh Your spirit up above oh ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings they would drown But they never did ever lived ebbing and flowing Inhibited limited Till it broke open and rained down It rained down like Pain You made me a you made me a believer believer Pain You break me down and build me up believer believer Pain oh let the bullets fly oh let them rain My life my love my drive it came from Pain You made me a you made me a believer believer Last things last By the grace of the fire and the flames You're the face of the future the blood in my veins oh ooh The blood in my veins oh ooh But they never did ever lived ebbing and flowing Inhibited limited Till it broke open and rained down It rained down like Pain You made me a you made me a believer believer Pain You break me down and build me up believer believer Pain oh let the bullets fly oh let them rain My life my love my drive it came from Pain You made me a you made me a believer believer
52,All I Want For Christmas Is You (SuperFestive!),"Justin Bieber, Mariah Carey",I don't want a lot for Christmas There is just one thing I need I don't care about presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas day I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You baby I won't ask for much this Christmas I won't even wish for snow I'm just gonna keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click 'Cause I just want you here tonight Holding on to me so tight What more can I do Baby all I want for Christmas is you You All the lights are shining So brightly everywhere And the sound of children's Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa won't you bring me the one I really need Won't you please bring my baby to me Oh I don't want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door Oh I just want him for my own More than you could ever know Make my wish come true Baby all I want for Christmas is you All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby
53,Christmas Eve,Kelly Clarkson,I'm hearing sleigh bells I'm seeing snow I've waited all year baby just to see those reindeer Watch them as they go Home by the fireside Twinkling lights I've waited all year baby just to see that sleigh flying to the night All the lights all of the fun all of us here all of us one Only a gift only a toy only for a good girl and boy The greatest party you ever did see I'm hearing sleigh bells hear those sleigh bells ring I'm seeing snow I see those snowy scenes I've waited all year baby just to see those reindeer Watch them as they go Home by the fireside home by the fireside Twinkling lights all of those pretty lights I've waited all year baby just to see that sleigh flying to the night All of the laughs all of the dreams all of the songs all of us sing Only a wish only a star only a leap from where you are For those who believe on Christmas eve I'm hearing sleigh bells hear those sleigh bells ring I'm seeing snow I see those snowy scenes I've waited all year baby just to see those reindeer Watch them as they go Home by the fireside home by the fireside Twinkling lights all of those pretty lights I've waited all year baby just to see that sleigh flying to the night A party for you and for me A party for a magical scene Ain't no party like Christmas Eve I'm hearing sleigh bells hear those sleigh bells ring I'm seeing snow I see those snowy scenes I've waited all year baby just to see those reindeer Watch them as they go Home by the fireside Home by the fireside Twinkling lights all those pretty lights I've waited all year baby just to see that sleigh flying to the night
54,Angel Baby,Troye Sivan,"I need a lover to keep me sane Pull me from hell bring me back again Play me the classics, something romantic Give him my all when I don't even have it I always dreamed of a solemn face Someone who feels like a holiday But now I'm in pieces, barely believing Starting to think that I've lost all feeling  [Pre-Chorus] You came out the blue on a rainy night, no lie I tell you how I almost died, while you're bringing me back to life  [Chorus] I just wanna live in this moment forever 'Cause I'm afraid that living couldn't gеt any better Started giving up on thе world forever Until you give up heaven so we could be together  [Post-Chorus] You're my angel, angel baby Angel, you're my angel baby Baby, you're my angel, angel baby  [Verse 2] I'll fall in love with the little things Counting the tattoos on your skin Tell me a secret And baby I'll keep it And maybe we can play house for the weekend  [Pre-Chorus] You came out the blue on a rainy night, no lie I'll tell you how I almost died While you're bringing me back to life  [Chorus] I just wanna live in this moment forever 'Cause I'm afraid that living couldn't get any better Started giving up on the world forever Until you give up heaven so we could be together  [Post-Chorus] You're my angel, angel baby Angel, you're my angel baby Baby, you're my angel, angel baby  [Bridge] All the sick and twisted nights that I've been waiting for ya They were worth it all along, yeah  [Chorus] I just wanna live in this moment forever 'Cause I'm afraid that living couldn't get any better Started giving up on the world forever (Ooh, forever) Until you give up heaven so we could be together  [Post-Chorus] You're my angel, angel baby Angel, you're my angel baby Baby, you're my angel, angel baby Angel, angel baby Angel, you're my angel, baby Baby, you're my angel, angel baby"
55,Santa Claus Is Comin' to Town,Mariah Carey,You better watch out You better not cry You better not pout I`m telling you why Santa Claus is comin` to town Santa Claus is comin` to town Santa Claus is comin` to town -  He`s making a list He`s checking it twice He`s gonna find out Who`s naughty or nice Santa Claus is comin` to town Santa Claus is comin` to town Santa Claus is comin` to town  He sees you when you`re sleeping He knows when you`re awake He knows if you`ve been bad or good So be good for goodness sake  So you better watch out You better not cry You better not pout I`m telling you why Santa Claus is comin` to town Santa Claus is comin` to town Santa Claus is comin` to town  The kids in girl and boyland Will have a jubilee They`re gonna build a toyland All around the Christmas tree  So you better watch out You better not cry You better not pout I`m telling you why Santa Claus (is comin` to town) Santa Claus (is comin` to town)  Santa Claus is comin` Santa Claus is comin` Santa Claus is comin` To town -Uhh-
56,parachute,John K,Vibin' we could talk all night or sit in silence Watchin' shitty movies gettin' high and Laughin' about nothing much at all And that's cool with me Losin' control but I like it What you doin' to me doin' to me You got a hold of my psychic And that's alright with me I don't know what's happenin' Lately I've been someone and it ain't myself I'm spendin' all my time on somebody else I'm feelin' all these feelings I don't understand You're the one good thing I ain't questionin' Like ooh if I knew that it would kill me I would still be here a thousand times over Yeah If that's the consequence of lovin' you Then I will fall without a parachutе Da-da da-da-da-da-da da-da da-da-da-da-da da-da Then I will fall without a parachute Da-da da-da-da-da-da da-da da-da-da-da-da da-da-da Fingers wrappеd around me And I'm thinkin' three words Got me thinkin' diamonds and I usually take my time yeah I just can't believe it all the ways that you blow my mind yeah Everyone can see it Lately I've been someone and it ain't myself I'm spendin' all my time on somebody else I'm feelin' all these feelings I don't understand You're the one good thing I ain't questionin' Like ooh if I knew that it would kill me I would still be here a thousand times over Yeah If that's the consequence of lovin' you Then I will fall without a parachute Da-da da-da-da-da-da da-da da-da-da-da-da da-da Then I will fall without a parachute Da-da da-da-da-da-da da-da da-da-da-da-da da-da-da Then I will fall without a parachute Da-da da-da-da-da-da da-da da-da-da-da-da da-da-da Then I will fall without a parachute Da-da da-da-da-da-da da-da da-da-da-da-da da-da-da Then I will fall without a parachute
57,YOUTH,Troye Sivan,What if what if we run away What if what if we left today What if we said goodbye to safe and sound And what if what if we're hard to find What if what if we lost our minds What if we let them fall behind and they're never found And when the lights start flashing like a photobooth And the stars exploding we’ll be fireproof My youth my youth is yours Trippin' on skies sippin' waterfalls My youth my youth is yours Run away now and forevermore My youth my youth is yours A truth so loud you can't ignore My youth my youth my youth My youth is yours What if what if we start to drive What if what if we close our eyes What if we're speeding through red lights into paradise Cause we've no time for getting old Mortal body timeless souls Cross your fingers here we go And when the lights start flashing like a photobooth And the stars exploding we’ll be fireproof My youth my youth is yours Trippin' on skies sippin' waterfalls My youth my youth is yours Run away now and forevermore My youth my youth is yours A truth so loud you can't ignore My youth my youth my youth My youth is yours my youth is yours My youth my youth is yours Trippin' on skies sippin' waterfalls My youth my youth is yours Run away now and forevermore My youth my youth is yours A truth so loud you can’t ignore My youth my youth my youth My youth is yours My youth is yours My youth is yours
58,bad guy,Billie Eilish,White shirt now red my bloody nose Sleepin' you're on your tippy toes Creepin' around like no one knows Think you're so criminal Bruises on both my knees for you Don't say thank you or please I do what I want when I'm wanting to My soul so cynical So you're a tough guy Like it really rough guy Just can't get enough guy Chest always so puffed guy I'm that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type I'm the bad guy duh I'm the bad guy I like it when you take control Even if you know that you don't Own me I'll let you play the role I'll be your animal My mommy likes to sing along with me But she won't sing this song If she reads all the lyrics She'll pity the men I know So you're a tough guy Like it really rough guy Just can't get enough guy Chest always so puffed guy I'm that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type I'm the bad guy duh I'm the bad guy duh I'm only good at bein' bad bad I like when you get mad I guess I'm pretty glad that you're alone You said she's scared of me I mean I don't see what she sees But maybe it's 'cause I'm wearing your cologne I'm a bad guy I'm a bad guy Bad guy bad guy I'm a bad
59,At My Worst,Pink Sweat$,Can I call you baby Can you be my friend Can you be my lover up until the very end Let me show you love oh no pretend Stick by my side even when the world is caving in yeah Oh oh oh don't don't you worry I'll be there whenever you want me I need somebody who can love me at my worst Know I'm not perfect but I hope you see my worth 'Cause it's only you nobody new I put you first And for you girl I swear I'd do the worst Ooh ooh-ooh Ooh-ooh-ooh ooh-ooh-ooh-ooh If you stay forever let me hold your hand I can fill those places in your heart no one else can Let me show you love oh no pretend yeah I'll be right here baby you know it's sink or swim Oh oh oh don't don't you worry I'll be there whenever you want me I need somebody who can love me at my worst Know I'm not perfect but I hope you see my worth yeah 'Cause it's only you nobody new I put you first You first And for you girl I swear I'd do the worst Ooh ooh-ooh Ooh-ooh-ooh ooh-ooh-ooh-ooh Ooh-ooh-ooh ooh ooh-ooh Ooh-ooh-ooh ooh-ooh-ooh-ooh I need somebody who can love me at my worst Know I'm not perfect but I hope you see my worth 'Cause it's only you nobody new I put you first And for you girl I swear I'd do the worst
60,Christmas Tree Farm,Taylor Swift,My winter nights are taken up by static Stress and holiday shopping traffic But I close my eyes and I'm somewhere else Just like magic In my heart is a Christmas tree farm Where the people would come To dance under sparkling lights Bundled up in their mittens and coats And the cider would flow And I just wanna be there tonight Sweet dreams of holly and ribbon Mistakes are forgiven And everythin' is icy and blue And you would be there too Under the mistletoe Watchin' the fire glow And tellin' me I love you Just bein' in your arms Takes me back to that little farm Where every wish comes true In my heart is a Christmas tree farm There's a light in the barn We run inside out from the cold In the town kids are dreamin' of sleighs And they're warm and they're safe They wake to see a blanket of snow Sweet dreams of holly and ribbon Mistakes are forgiven And everythin' is icy and blue And you would be there too Under the mistletoe Watchin' the fire glow And tellin' me I love you Just bein' in your arms Takes me back to that little farm Where every wish comes true Baby yeah And when I'm feelin' alone You remind me of home Oh baby baby Merry Christmas And when the world isn't fair I pretend that we're there Baby baby Merry Christmas To you Under the mistletoe To you Watching the fire glow And tellin' me I love you Oh baby baby Merry Christmas Oh baby baby Merry Christmas Darling Oh baby baby Merry Christmas I love you Oh baby baby Merry Christmas Oh baby baby Merry Christmas I just want you to know Oh baby baby Merry Christmas Where every wish comes true I love you
61,Kiss Me More (Feat. SZA),Doja Cat,"We hug and yes, we make love And always just say, ""Goodnight"" (La-la-la, la-la-la) And we cuddle, sure I do love it But I need your lips on mine  [Chorus: Doja Cat] Can you kiss me more? We're so young, boy, we ain't got nothin' to lose, uh-oh It's just principle Baby, hold me 'cause I like the way you groove, uh-oh  [Post-Chorus: Doja Cat] Boy, you write your name, I can do the same Oh, I love the taste, la-la-la, la-la All on my tongue, I want it (La-la-la, la-la) Boy, you write your name, I can do the same Oh, I love the taste, la-la-la, la-la All on my tongue, I want it (La-la-la, la-la)  [Verse 1: Doja Cat] I, I feel like fucking something But we can be corny, fuck it Sugar, I ain't no dummy-dummy I likе to say, ""What if?"", but if We could kiss and just cut the rubbish Then I might bе on to somethin' I ain't givin' you one in public I'm givin' you hundreds, fuck it Somethin' we just gotta get into Sign first, middle, last, on the wisdom tooth Niggas wishin' that the pussy was a kissin' booth Taste breakfast, lunch and gin and juice And that dinner just like dessert too And when we French, refresh gimme two When I bite that lip, come get me too He want lipstick, lip-gloss, hickeys too, huh  [Chorus: Doja Cat] Can you kiss me more? We're so young, boy, we ain't got nothin' to lose, uh-oh It's just principle Baby, hold me 'cause I like the way you groove, uh-oh  [Post-Chorus: Doja Cat] Boy, you write your name, I can do the same Oh, I love the taste, la-la-la, la-la All on my tongue, I want it (La-la-la, la-la) Boy, you write your name, I can do the same Oh, I love the taste, la-la-la, la-la All on my tongue, I want it (La-la-la, la-la)  [Verse 2: SZA] Say give me a buck, need that Gucci stuff Push your limit, no, you ain't good enough All your niggas say that you lost without me All my bitches feel like I dodged it, don't need Fuckin' with you feel like jail, nigga I can't even exhale, nigga Pussy like holy grail, you know that You gon' make me need bail, you know that Caught creepin' with your friend You ain't even half man lyin' on your—, you know that Got me a bag for the break, you know that Control don't slow the pace, if I pull back All this ass for real (Ahh) Drama make you feel (Ahh) Fantasy and whip appeal Is all I can give you  [Chorus: Doja Cat, SZA & Both] Can you kiss me more? We're so young, boy, we ain't got nothin' to lose, uh-oh It's just principle Baby, hold me 'cause I like the way you groove, uh-oh Oh darlin'  [Post-Chorus: Doja Cat & SZA] Boy, you write your name, I can do the same Ooh, I love the taste, oh-la-la-la-la-la All on my tongue, I want it Boy, you write your name, I can do the same Ooh, I love the taste, oh-la-la-la-la-la All on my tongue, I want it"
62,Me Too,Meghan Trainor,Who's that sexy thang I see over there That's me standin' in the mirror What's that icy thang hangin' 'round my neck That's gold show me some respect I thank God every day That I woke up feelin' this way And I can't help lovin' myself And I don't need nobody else nuh If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too I walk in like a dime piece I go straight to VIP I never pay for my drinks My entourage behind me My life's a movie Tom Cruise So bless me baby achoo And even if they tried to They can't do it like I do I thank God every day That I woke up feelin' this way And I can't help lovin' myself And I don't need nobody else nuh If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too Turn the bass up Turn the bass up Turn the bass up Let's go I thank God every day That I woke up feelin' this way And I can't help lovin' myself And I don't need nobody else nuh If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too If I was you I'd wanna be me too I'd wanna be me too I'd wanna be me too
63,All I Want For Christmas Is You,New Hope Club,I don't want a lot for Christmas There is just one thing I need I don’t care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You you you baby You you you baby I don't want a lot for Christmas There is just one thing I need Don't care about the presents Underneath the Christmas tree I don’t need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You you you baby You you you baby Oh I won't ask for much this Christmas I won't even wish for snow I'm just going to keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click 'Cause I just want you here tonight Holding on to me so tight What more can I do Baby all I want for Christmas is you You you you baby You you you baby Oh all the lights are shining So brightly everywhere And the sound of children’s Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa won’t you bring me the one I really need Won't you please bring my baby to me Oh I don’t want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door Oh I just want you for my own More than you could ever know Make my wish come true Baby all I want for Christmas is you You you you baby You baby You you you baby You baby
64,Holly Jolly Christmas,Michael Buble,have a holly jolly christmas  it’s the best time of the year  well i don’t know if there’ll be snow  but have a cup of cheer    have a holly jolly christmas  and when you walk down the street  say hello to friends you know  and everyone you meet    ho ho the mistletoe  is hung where you can see  somebody waits for you  kiss her once for me    have a holly jolly christmas  and in case you didn’t hear  oh by golly have a holly jolly christmas  this year    ho ho the mistletoe  is hung where you can see  somebody waits for you  kiss her once for me    have a holly jolly christmas  and in case you didn’t hear  oh by golly have a holly jolly christmas  this year
65,Painkiller,Ruel,You're my painkiller When my brain gets bitter You keep me close You keep me close I got front row seats for the park side livin' Feel like the one but I'm one in a billion Teenage cynical and I don't really know What's the point of living if my heart gets broken Driving on the road waiting for head-on collision Springtime funeral I miss you but I'd rather be alone To keep me from Heartbreaks headaches The doctor says I'm diagnosed with Shit days mistakes But I'll be fine Fine But I'll be fine 'Cause you're my painkiller When my brain gets bitter You keep me close When I've been miserable And it takes forever To let my brain get better You keep me close You keep me close Window seats as the plane starts leavin' Miss those streets where my knees were bleedin' Homesick veteran I left my bed again Oh looking for Heartbreaks headaches The doctor says I'm diagnosed with Shit days mistakes But I'll be fine But I'll be fine 'Cause you're my painkiller When my brain gets bitter You keep me close When I've been miserable And it takes forever To let my brain get better You keep me close You keep me close Please never leave me 'cause I'm barely holdin' on You give me a reason to keep on breathin' 'Cause you're my painkiller When my brain gets bitter You keep me close When I've been miserable And it takes forever To let my brain get better You keep me close ooh-woah You keep me close I know you hear me Close Yeah Close Close
